You are now connected to database "nc_games" as user "joewaddicor".
 review_id |                        title                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                   review_body                                                                                                                                                                                                                                                                                                                                                                                                                                                    |        designer        |                                                 review_img_url                                                  | votes |    category     |    owner     |       created_at        
        10 | Super Rhino Hero                                     | Consequat velit occaecat voluptate do. Dolor pariatur fugiat sint et proident ex do consequat est. Nisi minim laboris mollit cupidatat et adipisicing laborum do. Sint sit tempor officia pariatur duis ullamco labore ipsum nisi voluptate nulla eu veniam. Et do ad id dolore id cillum non non culpa. Cillum mollit dolor dolore excepteur aliquip. Cillum aliquip quis aute enim anim ex laborum officia. Aliqua magna elit reprehenderit Lorem elit non laboris irure qui aliquip ad proident. Qui enim mollit Lorem labore eiusmod                                                                                                                                                                                                                                                                                                                                                                         | Gamey McGameface       | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |     7 | dexterity       | jessjelly    | 2021-01-22 11:35:50.936
        11 | Proident tempor et.                                  | Labore occaecat sunt qui commodo anim anim aliqua adipisicing aliquip fugiat. Ad in ipsum incididunt esse amet deserunt aliqua exercitation occaecat nostrud irure labore ipsum. Culpa tempor non voluptate reprehenderit deserunt pariatur cupidatat aliqua adipisicing. Nostrud labore dolor fugiat sint consequat excepteur dolore irure eu. Anim ex adipisicing magna deserunt enim fugiat do nulla officia sint. Ex tempor ut aliquip exercitation eiusmod. Excepteur deserunt officia voluptate sunt aliqua esse deserunt velit. In id non proident veniam ipsum id in consequat duis ipsum et incididunt. Qui cupidatat ea deserunt magna proident nisi nulla eiusmod aliquip magna deserunt fugiat fugiat incididunt. Laboris nisi velit mollit ullamco deserunt eiusmod deserunt ea dolore veniam.                                                                                                      | Seymour Buttz          | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |     5 | engine-building | grumpy19     | 2021-01-07 09:06:08.077
        12 | Occaecat consequat officia in quis commodo.          | Fugiat fugiat enim officia laborum quis. Aliquip laboris non nulla nostrud magna exercitation in ullamco aute laborum cillum nisi sint. Culpa excepteur aute cillum minim magna fugiat culpa adipisicing eiusmod laborum ipsum fugiat quis. Mollit consectetur amet sunt ex amet tempor magna consequat dolore cillum adipisicing. Proident est sunt amet ipsum magna proident fugiat deserunt mollit officia magna ea pariatur. Ullamco proident in nostrud pariatur. Minim consequat pariatur id pariatur adipisicing.                                                                                                                                                                                                                                                                                                                                                                                         | Ollie Tabooger         | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |     8 | roll-and-write  | happyamy2016 | 2020-09-13 15:19:28.077
        13 | Kerplunk; Don't lose your marbles                    | Don't underestimate the tension and supsense that can be brought on with a round of Kerplunk! You'll feel the rush and thrill of not disturbing the stack of marbles, and probably utter curse words when you draw the wrong straw. Fanily friendly, and not just for kids!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Avery Wunzboogerz      | https://images.pexels.com/photos/278888/pexels-photo-278888.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |     9 | dexterity       | tickle122    | 2021-01-25 11:16:54.963
        14 | Velit tempor ullamco amet ipsum dolor voluptate.     | Nostrud anim cupidatat incididunt officia cupidatat magna. Cillum commodo voluptate laboris id incididunt esse elit ipsum consectetur non elit elit magna. Aliquip sint amet eiusmod magna. Fugiat non ut ex eiusmod elit. Esse anim irure laborum aute ut ad reprehenderit. Veniam laboris dolore mollit mollit in. Cillum in aliquip adipisicing ipsum et dolor veniam qui ut ullamco aliquip in. Dolor fugiat elit laborum elit cupidatat aute qui nostrud. Duis incididunt ea nostrud minim consequat. Reprehenderit mollit cupidatat do culpa aliqua culpa mollit minim eiusmod. Deserunt occaecat ipsum ex ut pariatur eu veniam cillum nulla ex nostrud. Do nostrud amet duis proident nostrud eiusmod occaecat reprehenderit. Quis et cupidatat tempor qui dolor id veniam in sunt ipsum eiusmod. Sint tempor commodo consectetur mollit proident culpa nulla est tempor ullamco tempor aliquip laboris. | Don Keigh              | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |     3 | hidden-roles    | cooljmessy   | 2021-02-05 11:27:26.563
        15 | Scrobble, no that's not a typo                       | You know; the one that looks a lot like Scrabble, and plays a lot like Scrabble, but you have to push the letter tiles out of cardboard becasue that makes it more "fun"...  If you're a fan of words you'll love this game regardless, but if you're a hard core word nerd you probably have the original anyway.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Word Smith             | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |     1 | strategy        | jessjelly    | 2021-01-22 11:35:05.936
        16 | Ticket To Ride                                       | Choo-chooing onto game tables and zooming its way to becoming a modern classic. Ticket To Ride is rich with trains, tickets and tactics. Players gather train cards to enable then to build routes across a North American map, joining big cities and trying not to get blocked by their opponent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Alan R. Moon           | https://images.pexels.com/photos/4691567/pexels-photo-4691567.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 |     1 | deck-building   | weegembump   | 2021-01-22 11:05:05.936
        17 | Nova Luna; Freak out in a moonage daydream, oh yeah! | Loosely based around the phases of the moon, this tile placing game is rich in strategy anf makes great use of non-standard turn taking. Nova Luna was one of my favourite nominations for the prestigious Kennerspiel des Jahres in 2020. Sadly it didn't take home the title, but its an intruguing abstract game, certainly one to add to your game shelf.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Uwe Rosenburg          | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |     6 | strategy        | tickle122    | 1970-01-10 02:56:38.4
        18 | Reef                                                 | This game reminds me of the stress-free environment described in a song sung by a crab in the famous film about a mermaid. Plenty of coral collecting, and reef building to keep you entertained                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Emerson Matsuuchi      | https://images.pexels.com/photos/163064/play-stone-network-networked-interactive-163064.jpeg                    |     6 | strategy        | tickle122    | 1970-01-10 02:56:38.4
        19 | Twister                                              | Fugiat fugiat enim officia laborum quis. Aliquip laboris non nulla nostrud magna exercitation in ullamco aute laborum cillum nisi sint. Culpa excepteur aute cillum minim magna fugiat culpa adipisicing eiusmod laborum ipsum fugiat quis. Mollit consectetur amet sunt ex amet tempor magna consequat dolore cillum adipisicing. Proident est sunt amet ipsum magna proident fugiat deserunt mollit officia magna ea pariatur. Ullamco proident in nostrud pariatur. Minim consequat pariatur id pariatur adipisicing.                                                                                                                                                                                                                                                                                                                                                                                         | Chuck Foley            | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |     8 | roll-and-write  | happyamy2016 | 2020-09-13 15:19:28.077
        20 | Monopoly                                             | This household classic needs no introduction. Monopoly has been causeing family fallouts for close to 90 years. With numerous special editions and no doubt more still to come almost everyone has played this game, but has anyone ever finished it?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Uncredited             | https://images.pexels.com/photos/1314435/pexels-photo-1314435.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 |     3 | strategy        | grumpy19     | 2020-09-13 15:14:20.877
        21 | Ganz Schon Clever                                    | The title translates to "that's so clever" and it won't take you long to realise why. Ganz Schon Clever is a really engagind roll-and-write where you'll try to collect score points from coloured dice. Sounds simple, but the real strategy of this game lies in how you collect the bonuses.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Wolfgang Warsch        | https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |     8 | roll-and-write  | happyamy2016 | 2020-09-13 15:19:28.077
        22 | Yahtzee                                              | Often thought of as the ultimate roll-and-write game, You'll find it hard to overlook Yahtzee's appeal. Yahtzee is quick to teach and quick to play. Think of it as an essential "palate-cleanser" game to have in your store cupboard for those times when chunkier games leave a bitter taste in players mouths.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Edwin S. Lowe          | https://images.pexels.com/photos/33968/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260            |    18 | roll-and-write  | grumpy19     | 2020-09-13 15:19:20.077
        23 | Escape The Dark Castle                               | Escape the Dark Castle is a cooperative board game than will bring back feelings of eighties nostalgia. Released in 2017, its already well on its way to being a cult classic. Filled with dark traps, dungeons and monsterous foes the aim of the game is simple, escape!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Alex Crispin,          | https://images.pexels.com/photos/2416463/pexels-photo-2416463.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260 |    18 | push-your-luck  | jessjelly    | 2021-01-18 10:09:05.41
        24 | Escape The Dark Sector                               | Argueably one of the best things to come out of 2020, and new addition to what will hopefully become more than a two part series. Escape the Dark Sector takes everything about Escape the Dark Castle that made it wonderful, and then adds guns! Thrust into the future by the imersive chapter cards, your mission remains the same, (thats right, escape!) but the challenges you'll face feel a whole lot more grown up. Cooperative and atmospheric, Escape the Dark Sector brings more variety and a bigger challenge to players. Don't underestimate the dabger of running out of ammo.                                                                                                                                                                                                                                                                                                                  | Alex Crispin,          | https://images.pexels.com/photos/596132/pexels-photo-596132.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260   |    11 | push-your-luck  | jessjelly    | 2021-01-18 10:09:05.61
(24 rows)

